Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,18014.620000000003,216175.44,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),WebServer,Amazon EC2 ,0,2275.84,27310.08,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 10), Advance EC2 instance (t3a.2xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (100 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),Application Server,Amazon EC2 ,0,2509.44,30113.28,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 10), Advance EC2 instance (t3.2xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (100 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),Load Balancer,Application Load Balancer,0,1184.43,14213.16,USD,,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),Load Balancer,Network Load Balancer,0,43.81,525.72,USD,,"Number of Network Load Balancers (1), Average TCP connection duration (3 seconds), Average number of new TCP connections (5000 per second)"
My Estimate,US East (N. Virginia),Database,Amazon RDS for MySQL,0,1792.3,21507.60,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Quantity (1), Instance type (db.r3.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (1000 GB)"
My Estimate,US East (N. Virginia),CloudFront,Amazon CloudFront,0,475,5700.00,USD,,"Data transfer out to internet (5000 GB per month), Number of requests (HTTPS) (50000000 per month)"
My Estimate,US East (N. Virginia),S3 Website Bucket,S3 Standard,0,0.12,1.44,USD,,S3 Standard storage (5 GB per month)
My Estimate,US East (N. Virginia),S3 Website Bucket,Data Transfer,0,0,0.00,USD,,"DT Inbound: Not selected (0 TB per month), DT Outbound: Amazon CloudFront (0 TB per month)"
My Estimate,US East (N. Virginia),data transfer out,AWS Data Transfer,0,450,5400.00,USD,,"DT Inbound: Internet (0 GB per month), DT Outbound: Internet (5000 GB per month), DT Intra-Region: (0 TB per month), Data transfer cost (450)"
My Estimate,US East (N. Virginia),NAT gateway,Network Address Translation (NAT) Gateway,0,155.7,1868.40,USD,,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),WAP,AWS Web Application Firewall (WAF),0,1050,12600.00,USD,,"Number of Web Access Control Lists (Web ACLs) utilized (30 per month), Number of Rules added per Web ACL (30 per month)"
My Estimate,US East (N. Virginia),Route 53,Amazon Route 53,0,930.5,11166.00,USD,,Hosted Zones (1)
My Estimate,US East (N. Virginia),Cloudwatch (Monitoring workload),Amazon CloudWatch,0,1274,15288.00,USD,,"Number of Metrics (includes detailed and custom metrics) (15), Number of other API requests (1000000), Standard Logs: Data Ingested (1000 GB), Logs Delivered to CloudWatch Logs: Data Ingested (1000 GB), Logs Delivered to S3: Data Ingested (1000 GB), Number of Dashboards (1), Number of Standard Resolution Alarm Metrics (5)"
My Estimate,US East (N. Virginia),S3 for saving log,S3 Standard - Infrequent Access,0,72.5,870.00,USD,,S3 Standard-IA storage (5000 GB per month)
My Estimate,US East (N. Virginia),S3 for saving log,S3 Glacier Deep Archive,0,1,12.00,USD,,"S3 Glacier Deep Archive Average Object Size (16 MB), S3 Glacier Deep Archive storage (1000 GB per month), Restore requests (Standard) (1)"
My Estimate,US East (N. Virginia),AWS Shield,AWS Shield,0,3375,40500.00,USD,,"Cloud Front Usage (5000 GB per month), Elastic Load Balancing (ELB) Usage (5000 GB per month)"
My Estimate,US West (Oregon),RDS (Standby in another region),Amazon RDS for MySQL,0,1697.3,20367.60,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Quantity (1), Instance type (db.r3.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US West (Oregon),Load Balancer in another region,Application Load Balancer,0,16.9,202.80,USD,,Number of Application Load Balancers (1)
My Estimate,US West (Oregon),Load Balancer in another region,Network Load Balancer,0,16.98,203.76,USD,,"Number of Network Load Balancers (1), Average TCP connection duration (3 seconds), Average number of new TCP connections (100 per second)"
My Estimate,US West (Oregon),WebServer in another region,Amazon EC2 ,0,329.376,3952.51,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 3), Advance EC2 instance (t3a.xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US West (Oregon),Application Server in another region,Amazon EC2 ,0,364.416,4372.99,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 3), Advance EC2 instance (t3.xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
