Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,8290.100000000002,99481.20,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),WebServer,Amazon EC2 ,0,2275.84,27310.08,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 10), Advance EC2 instance (t3a.2xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (100 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),Application Server,Amazon EC2 ,0,2275.84,27310.08,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 10), Advance EC2 instance (t3a.2xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (100 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),Load Balancer,Application Load Balancer,0,1184.43,14213.16,USD,,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),Load Balancer,Network Load Balancer,0,43.81,525.72,USD,,"Number of Network Load Balancers (1), Average TCP connection duration (3 seconds), Average number of new TCP connections (5000 per second)"
My Estimate,US East (N. Virginia),Database,Amazon RDS for MySQL,0,1585.06,19020.72,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (512 GB), Quantity (1), Instance type (db.r3.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (N. Virginia),CloudFront,Amazon CloudFront,0,475,5700.00,USD,,"Data transfer out to internet (5000 GB per month), Number of requests (HTTPS) (50000000 per month)"
My Estimate,US East (N. Virginia),S3 Website Bucket,S3 Standard,0,0.12,1.44,USD,,S3 Standard storage (5 GB per month)
My Estimate,US East (N. Virginia),S3 Website Bucket,Data Transfer,0,0,0.00,USD,,"DT Inbound: Not selected (0 TB per month), DT Outbound: Amazon CloudFront (0 TB per month)"
My Estimate,US East (N. Virginia),data transfer out,AWS Data Transfer,0,450,5400.00,USD,,"DT Inbound: Internet (0 GB per month), DT Outbound: Internet (5000 GB per month), DT Intra-Region: (0 TB per month), Data transfer cost (450)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
